Lower layer Super Output Areas Code,Lower layer Super Output Areas,Economic activity status (20 categories) Code,Economic activity status (20 categories),Observation
E01000116,Barnet 009B,18,Economically inactive: Long-term sick or disabled,26
E01000116,Barnet 009B,19,Economically inactive: Other,37
E01000117,Barnet 010A,-8,Does not apply,335
E01000117,Barnet 010A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,152
E01000117,Barnet 010A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,455
E01000117,Barnet 010A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000117,Barnet 010A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,22
E01000117,Barnet 010A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,89
E01000117,Barnet 010A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,78
E01000117,Barnet 010A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,28
E01000117,Barnet 010A,8,Economically active and a full-time student: In employment: Employee: Part-time,9
E01000117,Barnet 010A,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000117,Barnet 010A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000117,Barnet 010A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000117,Barnet 010A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000117,Barnet 010A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000117,Barnet 010A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000117,Barnet 010A,15,Economically inactive: Retired,333
E01000117,Barnet 010A,16,Economically inactive: Student,62
E01000117,Barnet 010A,17,Economically inactive: Looking after home or family,70
E01000117,Barnet 010A,18,Economically inactive: Long-term sick or disabled,44
E01000117,Barnet 010A,19,Economically inactive: Other,44
E01000118,Barnet 010B,-8,Does not apply,405
E01000118,Barnet 010B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,187
E01000118,Barnet 010B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,560
E01000118,Barnet 010B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000118,Barnet 010B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,26
E01000118,Barnet 010B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,84
E01000118,Barnet 010B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,108
E01000118,Barnet 010B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,53
E01000118,Barnet 010B,8,Economically active and a full-time student: In employment: Employee: Part-time,23
E01000118,Barnet 010B,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000118,Barnet 010B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,2
E01000118,Barnet 010B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000118,Barnet 010B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000118,Barnet 010B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000118,Barnet 010B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01000118,Barnet 010B,15,Economically inactive: Retired,313
E01000118,Barnet 010B,16,Economically inactive: Student,97
E01000118,Barnet 010B,17,Economically inactive: Looking after home or family,83
E01000118,Barnet 010B,18,Economically inactive: Long-term sick or disabled,39
E01000118,Barnet 010B,19,Economically inactive: Other,50
E01000119,Barnet 009C,-8,Does not apply,330
E01000119,Barnet 009C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,170
E01000119,Barnet 009C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,457
E01000119,Barnet 009C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,12
E01000119,Barnet 009C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,34
E01000119,Barnet 009C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,73
E01000119,Barnet 009C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,86
E01000119,Barnet 009C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,37
E01000119,Barnet 009C,8,Economically active and a full-time student: In employment: Employee: Part-time,7
E01000119,Barnet 009C,9,Economically active and a full-time student: In employment: Employee: Full-time,0
E01000119,Barnet 009C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000119,Barnet 009C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000119,Barnet 009C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000119,Barnet 009C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000119,Barnet 009C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01000119,Barnet 009C,15,Economically inactive: Retired,311
E01000119,Barnet 009C,16,Economically inactive: Student,99
E01000119,Barnet 009C,17,Economically inactive: Looking after home or family,83
E01000119,Barnet 009C,18,Economically inactive: Long-term sick or disabled,30
E01000119,Barnet 009C,19,Economically inactive: Other,54
E01000120,Barnet 009D,-8,Does not apply,271
E01000120,Barnet 009D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,122
E01000120,Barnet 009D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,405
E01000120,Barnet 009D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000120,Barnet 009D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,26
E01000120,Barnet 009D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,67
E01000120,Barnet 009D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,69
E01000120,Barnet 009D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,57
E01000120,Barnet 009D,8,Economically active and a full-time student: In employment: Employee: Part-time,7
E01000120,Barnet 009D,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000120,Barnet 009D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000120,Barnet 009D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000120,Barnet 009D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000120,Barnet 009D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000120,Barnet 009D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,3
E01000120,Barnet 009D,15,Economically inactive: Retired,261
E01000120,Barnet 009D,16,Economically inactive: Student,81
E01000120,Barnet 009D,17,Economically inactive: Looking after home or family,64
E01000120,Barnet 009D,18,Economically inactive: Long-term sick or disabled,20
E01000120,Barnet 009D,19,Economically inactive: Other,28
E01000121,Barnet 010C,-8,Does not apply,269
E01000121,Barnet 010C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,144
E01000121,Barnet 010C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,318
E01000121,Barnet 010C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000121,Barnet 010C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,19
E01000121,Barnet 010C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,58
E01000121,Barnet 010C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,46
E01000121,Barnet 010C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,62
E01000121,Barnet 010C,8,Economically active and a full-time student: In employment: Employee: Part-time,27
E01000121,Barnet 010C,9,Economically active and a full-time student: In employment: Employee: Full-time,4
E01000121,Barnet 010C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000121,Barnet 010C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01000121,Barnet 010C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000121,Barnet 010C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,2
E01000121,Barnet 010C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01000121,Barnet 010C,15,Economically inactive: Retired,157
E01000121,Barnet 010C,16,Economically inactive: Student,99
E01000121,Barnet 010C,17,Economically inactive: Looking after home or family,95
E01000121,Barnet 010C,18,Economically inactive: Long-term sick or disabled,94
E01000121,Barnet 010C,19,Economically inactive: Other,67
E01000122,Barnet 009E,-8,Does not apply,308
E01000122,Barnet 009E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,151
E01000122,Barnet 009E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,387
E01000122,Barnet 009E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,9
E01000122,Barnet 009E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,26
E01000122,Barnet 009E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,73
E01000122,Barnet 009E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,77
E01000122,Barnet 009E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,30
E01000122,Barnet 009E,8,Economically active and a full-time student: In employment: Employee: Part-time,10
E01000122,Barnet 009E,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000122,Barnet 009E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000122,Barnet 009E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000122,Barnet 009E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000122,Barnet 009E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000122,Barnet 009E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,4
E01000122,Barnet 009E,15,Economically inactive: Retired,233
E01000122,Barnet 009E,16,Economically inactive: Student,83
E01000122,Barnet 009E,17,Economically inactive: Looking after home or family,56
E01000122,Barnet 009E,18,Economically inactive: Long-term sick or disabled,22
E01000122,Barnet 009E,19,Economically inactive: Other,42
E01000123,Barnet 010D,-8,Does not apply,336
E01000123,Barnet 010D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,190
E01000123,Barnet 010D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,525
E01000123,Barnet 010D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000123,Barnet 010D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,28
E01000123,Barnet 010D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,94
E01000123,Barnet 010D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,119
E01000123,Barnet 010D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,44
E01000123,Barnet 010D,8,Economically active and a full-time student: In employment: Employee: Part-time,8
E01000123,Barnet 010D,9,Economically active and a full-time student: In employment: Employee: Full-time,2
E01000123,Barnet 010D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000123,Barnet 010D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000123,Barnet 010D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000123,Barnet 010D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000123,Barnet 010D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,5
E01000123,Barnet 010D,15,Economically inactive: Retired,220
E01000123,Barnet 010D,16,Economically inactive: Student,56
E01000123,Barnet 010D,17,Economically inactive: Looking after home or family,60
E01000123,Barnet 010D,18,Economically inactive: Long-term sick or disabled,25
E01000123,Barnet 010D,19,Economically inactive: Other,41
E01000124,Barnet 010E,-8,Does not apply,401
E01000124,Barnet 010E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,190
E01000124,Barnet 010E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,436
E01000124,Barnet 010E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,8
E01000124,Barnet 010E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,13
E01000124,Barnet 010E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,80
E01000124,Barnet 010E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,108
E01000124,Barnet 010E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,63
E01000124,Barnet 010E,8,Economically active and a full-time student: In employment: Employee: Part-time,19
E01000124,Barnet 010E,9,Economically active and a full-time student: In employment: Employee: Full-time,11
E01000124,Barnet 010E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000124,Barnet 010E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000124,Barnet 010E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,3
E01000124,Barnet 010E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,3
E01000124,Barnet 010E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,9
E01000124,Barnet 010E,15,Economically inactive: Retired,176
E01000124,Barnet 010E,16,Economically inactive: Student,82
E01000124,Barnet 010E,17,Economically inactive: Looking after home or family,151
E01000124,Barnet 010E,18,Economically inactive: Long-term sick or disabled,53
E01000124,Barnet 010E,19,Economically inactive: Other,62
E01000126,Barnet 026A,-8,Does not apply,460
E01000126,Barnet 026A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,238
E01000126,Barnet 026A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,548
E01000126,Barnet 026A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000126,Barnet 026A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,30
E01000126,Barnet 026A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,73
E01000126,Barnet 026A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,105
E01000126,Barnet 026A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,111
E01000126,Barnet 026A,8,Economically active and a full-time student: In employment: Employee: Part-time,8
E01000126,Barnet 026A,9,Economically active and a full-time student: In employment: Employee: Full-time,3
E01000126,Barnet 026A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000126,Barnet 026A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01000126,Barnet 026A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000126,Barnet 026A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000126,Barnet 026A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,12
E01000126,Barnet 026A,15,Economically inactive: Retired,127
E01000126,Barnet 026A,16,Economically inactive: Student,209
E01000126,Barnet 026A,17,Economically inactive: Looking after home or family,144
E01000126,Barnet 026A,18,Economically inactive: Long-term sick or disabled,96
E01000126,Barnet 026A,19,Economically inactive: Other,99
E01000127,Barnet 024B,-8,Does not apply,361
E01000127,Barnet 024B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,156
E01000127,Barnet 024B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,342
E01000127,Barnet 024B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000127,Barnet 024B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,23
E01000127,Barnet 024B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,65
E01000127,Barnet 024B,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,76
E01000127,Barnet 024B,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,50
E01000127,Barnet 024B,8,Economically active and a full-time student: In employment: Employee: Part-time,16
E01000127,Barnet 024B,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000127,Barnet 024B,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000127,Barnet 024B,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000127,Barnet 024B,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,1
E01000127,Barnet 024B,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000127,Barnet 024B,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,7
E01000127,Barnet 024B,15,Economically inactive: Retired,149
E01000127,Barnet 024B,16,Economically inactive: Student,89
E01000127,Barnet 024B,17,Economically inactive: Looking after home or family,91
E01000127,Barnet 024B,18,Economically inactive: Long-term sick or disabled,59
E01000127,Barnet 024B,19,Economically inactive: Other,60
E01000128,Barnet 024C,-8,Does not apply,443
E01000128,Barnet 024C,1,Economically active (excluding full-time students): In employment: Employee: Part-time,178
E01000128,Barnet 024C,2,Economically active (excluding full-time students): In employment: Employee: Full-time,447
E01000128,Barnet 024C,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,11
E01000128,Barnet 024C,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,27
E01000128,Barnet 024C,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,83
E01000128,Barnet 024C,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,135
E01000128,Barnet 024C,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,67
E01000128,Barnet 024C,8,Economically active and a full-time student: In employment: Employee: Part-time,17
E01000128,Barnet 024C,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000128,Barnet 024C,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000128,Barnet 024C,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000128,Barnet 024C,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,4
E01000128,Barnet 024C,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,4
E01000128,Barnet 024C,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,11
E01000128,Barnet 024C,15,Economically inactive: Retired,188
E01000128,Barnet 024C,16,Economically inactive: Student,154
E01000128,Barnet 024C,17,Economically inactive: Looking after home or family,133
E01000128,Barnet 024C,18,Economically inactive: Long-term sick or disabled,60
E01000128,Barnet 024C,19,Economically inactive: Other,79
E01000129,Barnet 024D,-8,Does not apply,341
E01000129,Barnet 024D,1,Economically active (excluding full-time students): In employment: Employee: Part-time,148
E01000129,Barnet 024D,2,Economically active (excluding full-time students): In employment: Employee: Full-time,359
E01000129,Barnet 024D,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000129,Barnet 024D,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,23
E01000129,Barnet 024D,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,64
E01000129,Barnet 024D,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,95
E01000129,Barnet 024D,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,61
E01000129,Barnet 024D,8,Economically active and a full-time student: In employment: Employee: Part-time,18
E01000129,Barnet 024D,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000129,Barnet 024D,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,0
E01000129,Barnet 024D,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,0
E01000129,Barnet 024D,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,0
E01000129,Barnet 024D,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,1
E01000129,Barnet 024D,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,8
E01000129,Barnet 024D,15,Economically inactive: Retired,160
E01000129,Barnet 024D,16,Economically inactive: Student,109
E01000129,Barnet 024D,17,Economically inactive: Looking after home or family,97
E01000129,Barnet 024D,18,Economically inactive: Long-term sick or disabled,49
E01000129,Barnet 024D,19,Economically inactive: Other,60
E01000130,Barnet 021A,-8,Does not apply,409
E01000130,Barnet 021A,1,Economically active (excluding full-time students): In employment: Employee: Part-time,235
E01000130,Barnet 021A,2,Economically active (excluding full-time students): In employment: Employee: Full-time,444
E01000130,Barnet 021A,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,6
E01000130,Barnet 021A,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,45
E01000130,Barnet 021A,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,54
E01000130,Barnet 021A,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,105
E01000130,Barnet 021A,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,116
E01000130,Barnet 021A,8,Economically active and a full-time student: In employment: Employee: Part-time,26
E01000130,Barnet 021A,9,Economically active and a full-time student: In employment: Employee: Full-time,5
E01000130,Barnet 021A,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000130,Barnet 021A,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,2
E01000130,Barnet 021A,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,2
E01000130,Barnet 021A,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000130,Barnet 021A,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,17
E01000130,Barnet 021A,15,Economically inactive: Retired,143
E01000130,Barnet 021A,16,Economically inactive: Student,80
E01000130,Barnet 021A,17,Economically inactive: Looking after home or family,106
E01000130,Barnet 021A,18,Economically inactive: Long-term sick or disabled,90
E01000130,Barnet 021A,19,Economically inactive: Other,58
E01000131,Barnet 024E,-8,Does not apply,420
E01000131,Barnet 024E,1,Economically active (excluding full-time students): In employment: Employee: Part-time,168
E01000131,Barnet 024E,2,Economically active (excluding full-time students): In employment: Employee: Full-time,497
E01000131,Barnet 024E,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,7
E01000131,Barnet 024E,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,21
E01000131,Barnet 024E,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,84
E01000131,Barnet 024E,6,Economically active (excluding full-time students): In employment: Self-employed without employees: Full-time,136
E01000131,Barnet 024E,7,Economically active (excluding full-time students): Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,62
E01000131,Barnet 024E,8,Economically active and a full-time student: In employment: Employee: Part-time,23
E01000131,Barnet 024E,9,Economically active and a full-time student: In employment: Employee: Full-time,14
E01000131,Barnet 024E,10,Economically active and a full-time student: In employment: Self-employed with employees: Part-time,1
E01000131,Barnet 024E,11,Economically active and a full-time student: In employment: Self-employed with employees: Full-time,1
E01000131,Barnet 024E,12,Economically active and a full-time student: In employment: Self-employed without employees: Part-time,9
E01000131,Barnet 024E,13,Economically active and a full-time student: In employment: Self-employed without employees: Full-time,0
E01000131,Barnet 024E,14,Economically active and a full-time student: Unemployed: Seeking work or waiting to start a job already obtained: Available to start working within 2 weeks,6
E01000131,Barnet 024E,15,Economically inactive: Retired,225
E01000131,Barnet 024E,16,Economically inactive: Student,95
E01000131,Barnet 024E,17,Economically inactive: Looking after home or family,138
E01000131,Barnet 024E,18,Economically inactive: Long-term sick or disabled,32
E01000131,Barnet 024E,19,Economically inactive: Other,83
E01000132,Barnet 021B,-8,Does not apply,409
E01000132,Barnet 021B,1,Economically active (excluding full-time students): In employment: Employee: Part-time,155
E01000132,Barnet 021B,2,Economically active (excluding full-time students): In employment: Employee: Full-time,383
E01000132,Barnet 021B,3,Economically active (excluding full-time students): In employment: Self-employed with employees: Part-time,5
E01000132,Barnet 021B,4,Economically active (excluding full-time students): In employment: Self-employed with employees: Full-time,10
E01000132,Barnet 021B,5,Economically active (excluding full-time students): In employment: Self-employed without employees: Part-time,58
